nohup: ignoring input
2019-04-17 04:06:17.022170: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:268] No versions of servable fashion_model found under base path /tmp/1
2019-04-17 04:06:18.022216: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:268] No versions of servable fashion_model found under base path /tmp/1
2019-04-17 04:06:19.022287: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:268] No versions of servable fashion_model found under base path /tmp/1
2019-04-17 04:06:20.022374: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:268] No versions of servable fashion_model found under base path /tmp/1
2019-04-17 04:06:21.022564: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:268] No versions of servable fashion_model found under base path /tmp/1
2019-04-17 04:06:22.022658: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:268] No versions of servable fashion_model found under base path /tmp/1
2019-04-17 04:06:23.022778: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:268] No versions of servable fashion_model found under base path /tmp/1
2019-04-17 04:06:24.022805: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:268] No versions of servable fashion_model found under base path /tmp/1
2019-04-17 04:06:25.023005: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:268] No versions of servable fashion_model found under base path /tmp/1
2019-04-17 04:06:26.023021: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:268] No versions of servable fashion_model found under base path /tmp/1
2019-04-17 04:06:27.023201: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:268] No versions of servable fashion_model found under base path /tmp/1
2019-04-17 04:06:28.023316: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:268] No versions of servable fashion_model found under base path /tmp/1
2019-04-17 04:06:29.023359: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:268] No versions of servable fashion_model found under base path /tmp/1
2019-04-17 04:06:30.023535: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:268] No versions of servable fashion_model found under base path /tmp/1
2019-04-17 04:06:31.023659: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:268] No versions of servable fashion_model found under base path /tmp/1
2019-04-17 04:06:32.023778: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:268] No versions of servable fashion_model found under base path /tmp/1
2019-04-17 04:06:33.023847: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:268] No versions of servable fashion_model found under base path /tmp/1
2019-04-17 04:06:34.023899: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:268] No versions of servable fashion_model found under base path /tmp/1
2019-04-17 04:06:35.024037: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:268] No versions of servable fashion_model found under base path /tmp/1
2019-04-17 04:06:36.024180: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:268] No versions of servable fashion_model found under base path /tmp/1
2019-04-17 04:06:37.024315: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:268] No versions of servable fashion_model found under base path /tmp/1
2019-04-17 04:06:38.024454: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:268] No versions of servable fashion_model found under base path /tmp/1
2019-04-17 04:06:39.024596: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:268] No versions of servable fashion_model found under base path /tmp/1
2019-04-17 04:06:40.024833: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:268] No versions of servable fashion_model found under base path /tmp/1
2019-04-17 04:06:41.024849: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:268] No versions of servable fashion_model found under base path /tmp/1
2019-04-17 04:06:42.024942: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:268] No versions of servable fashion_model found under base path /tmp/1
2019-04-17 04:06:43.025019: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:268] No versions of servable fashion_model found under base path /tmp/1
2019-04-17 04:06:44.025062: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:268] No versions of servable fashion_model found under base path /tmp/1
2019-04-17 04:06:45.025149: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:268] No versions of servable fashion_model found under base path /tmp/1
2019-04-17 04:06:46.025246: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:268] No versions of servable fashion_model found under base path /tmp/1
2019-04-17 04:06:47.025356: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:268] No versions of servable fashion_model found under base path /tmp/1
2019-04-17 04:06:48.025579: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:268] No versions of servable fashion_model found under base path /tmp/1
2019-04-17 04:06:49.025573: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:268] No versions of servable fashion_model found under base path /tmp/1
2019-04-17 04:06:50.025732: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:268] No versions of servable fashion_model found under base path /tmp/1
2019-04-17 04:06:51.025791: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:268] No versions of servable fashion_model found under base path /tmp/1
2019-04-17 04:06:52.025929: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:268] No versions of servable fashion_model found under base path /tmp/1
2019-04-17 04:06:53.026079: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:268] No versions of servable fashion_model found under base path /tmp/1
2019-04-17 04:06:54.026273: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:268] No versions of servable fashion_model found under base path /tmp/1
2019-04-17 04:06:55.026311: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:268] No versions of servable fashion_model found under base path /tmp/1
2019-04-17 04:06:56.026458: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:268] No versions of servable fashion_model found under base path /tmp/1
2019-04-17 04:06:57.026671: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:268] No versions of servable fashion_model found under base path /tmp/1
2019-04-17 04:06:58.026788: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:268] No versions of servable fashion_model found under base path /tmp/1
2019-04-17 04:06:59.026854: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:268] No versions of servable fashion_model found under base path /tmp/1
2019-04-17 04:07:00.027103: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:268] No versions of servable fashion_model found under base path /tmp/1
